smiles,ligand_id
CCc1c(c(c(c(n1)CC(C)(C)C)CN)c2ccc(cc2)C)CC(=O)O,01T
c1cc2c(cc1N)sc(n2)N,01U
c1cc(c(cc1Cl)CN)Cl,01V
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])NCC[C@@H](C(=O)O)N,01W
c1cc(c(cc1Cl)CN)OCC(=O)O,01X
C1CCC(C1)OCC(=O)O,01Y
C1CCC(CC1)OCC(=O)O,01Z
c1cc(oc1)CNc2ccc(cc2[N+](=O)[O-])C(F)(F)F,020
C1CCC(C1)NCC(=O)O,021
Cc1cc(ccc1n2c(ccc2c3ccc(cc3)n4ccnc4)CCC(=O)O)C(=O)N,022
C[C@@H]([C@@H](CCCc1ccccc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)N(C=O)O,023
c1cc(cc(c1)NC2CCCCC2)c3c(c(c(s3)C(=O)O)OCC(=O)O)Br,024
c1cc(cc(c1)S(=O)(=O)O)C(F)(F)F,025
C1CN(CCN1)CCCN,026
Cc1cc(n[nH]1)NC2=NN(C(=O)c3c2ccc(c3)N4CCN(CC4)C)C(C)C,027
CCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,028
[H]/N=C(\N)/NCC1CCC(CC1)C(=O)O,029
C1CN[C@@H]1C(=O)O,02A
Cc1cc(c(c(c1S(=O)(=O)O)C)C)OC,02B
[H]/N=C(/c1csc(n1)CN)\N,02C
[H]/N=C(/c1ccc(s1)CN)\N,02D
CO/C=C/C[C@@H](N)P(O)(O)(Oc1ccccc1)Oc2ccccc2,02E
COCCC[C@@H](N)P(=O)(O)O,02F
C(CS)/C=C/[C@H](CC(=O)O)O,02G
c1ccc(cc1)C[C@@H](C[C@@H]([C@H](Cc2ccc(cc2)c3cccnc3)N)O)N,02H
c1nc(c2c(n1)n3c(n2)[C@@H]([C@@H]4[C@H](C[C@H]3O4)O)OP(=O)(O)O)N,02I
Cc1cc(no1)C(=O)O,02J
C1CCC(CC1)(C(=O)O)N,02K
CC(C)(C)CNC(=O)C[C@@H](C(=O)O)N,02L
Cc1ccc(cc1)CN,02N
CC(C)(C)c1nc(on1)C[C@@H](C(=O)O)N,02O
C[n+]1ccc(cc1CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)N)Cl,02P
Cc1ccccc1CCC(=O)O,02Q
c1ccc(c(c1)CN)Cl,02R
c1ccc(cc1)COc2ccc(cc2)C(=O)O,02S
Cc1ccsc1CN,02T
CCC(C)CCCC=CCCCCCCCC(=O)O,02U
CN[C@@H](c1ccc(c(c1)O)O)C(=O)O,02V
Cc1nc2ccccc2n1CCN,02W
CC(C)[C@H](CC(=O)O)C(=O)O,02X
C(CC(=O)C[N+]#N)[C@@H](C(=O)O)N,02Y
c1ccc(cc1)Nc2nc(c(s2)C(=O)N)N,02Z
C1[C@H](C[C@@H]2[C@H]1[C@H](CO2)O)OC(=O)O,030
COc1ccc(cc1)S(=O)(=O)[N@@](C[C@H]2CCC(=O)N2)C[C@H]([C@H](Cc3ccccc3)NC(=O)O[C@@H]4C[C@@H]5CCO[C@@H]5C4)O,031
CCCS(=O)(=O)Nc1ccc(c(c1F)C(=O)c2c[nH]c3c2cc(cn3)c4ccc(cc4)Cl)F,032
CC(C)[C@@H](C(=O)O)NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)NC(=O)c3cc4ccccc4o3,033
CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(cc3)c4ccc5c(c4)cc([nH]5)C(=O)O,034
C(CC[C@@H](C(=O)O)OP(=O)(O)O)CCOP(=O)(O)O,035
C(CC[C@H](C(=O)O)OP(=O)(O)O)CCOP(=O)(O)O,036
C1C[C@H]2CN[C@@H]([C@H]2C1)C(=O)O,037
CC(C)C[C@@H](C(=O)NC[C@](CCc1ccccc1)(C(=O)Nc2cccc(c2)C(=O)O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CNC(=O)c3[nH]nnn3)N,038
COc1ccccc1N2C(=Nc3cccc(c3C2=O)Cl)CSc4c5c([nH]cn5)ncn4,039
CCCC(C(=O)C(=O)NC1CC1)N,03A
Cc1c(c(c(n1C)c2ccc(cc2)Cl)c3cccc(c3)N4CCN(CC4)c5ccc(cc5)NS(=O)(=O)c6ccc(c(c6)[N+](=O)[O-])N[C@H](CCN(C)C)CSc7ccccc7)C(=O)O,03B
Cc1ccccc1n2c(c(cn2)C(=O)c3cccc(c3)C4CCN(CC4)S(=O)(=O)C)N,03C
CC(C)C[C@@H]([C@@H]([C@H](CC1CCCCC1)NC(=O)[C@H](CC2CC2)C[C@@H]([C@H](Cc3ccccc3)O)O)O)O,03D
C1CCCC(CC1)(C(=O)O)N,03E
CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)NC(=O)CCCCCCC/C=C\CCCCCCCC)O,03F
CC1(CC(CC(N1)(C)C)NC(=O)C(=O)Nc2ccc(cc2)Cl)C,03G
CC(C)C[C@@H](C(=O)O)Cl,03H
C[C@@](CCc1ccc(cc1)c2ccc(cc2)OCCCN3CCOCC3)(C(=O)NO)S(=O)(=O)C,03I
c1ccc(cc1)c2cc(sc2)c3ccc(cc3)CCC(=O)O,03J
c1cc(ccc1C(=O)N)C(=O)Nc2cc([nH]n2)C3CC3,03K
c1ccc(c(c1)C(=O)NCc2c(cccc2Cl)Sc3ccc(cc3Cl)Cl)C(=O)O,03L
Cc1c(ccc2c1[nH]cc2/C=C\3/C(=O)N(C(=O)N3)Cc4ccc(c(c4)F)F)Cl,03M
[H]/N=C(\N)/N1CCC(CC1)CN,03N
CN1[C@H](CNC2=C1C(=O)NC(=N2)N)CNc3ccc(cc3)C(=O)O,03O
CC(C)(CC(=O)NCCn1ccc2c1c(ncn2)Nc3ccc(c(c3)Cl)Oc4cccc(c4)C(F)(F)F)O,03P
c1cc(cc(c1)Oc2c(cc(cn2)Nc3c4c(ccn4CCOCCO)ncn3)Cl)C(F)(F)F,03Q
[H]/N=C(/c1cccc(c1)Oc2c(c(c(c(n2)Oc3ccccc3C(=O)O)F)N[C@@H](C)CCc4ccccc4)F)\N,03R
CS(=O)(=O)O,03S
c1ccc2c(c1)cc(s2)S(=O)(=O)N,03T
CC/C(=C(\C#N)/C(=O)Nc1ccc(c(c1)C(=O)OC)c2ccc(cc2)F)/O,03U
c1ccc2cc(ccc2c1)O,03V
C([C@H](C(O)O)O)O,03W
CC1=C(C(=O)N(N1C)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4cc(c(c5)OC)OC,03X
C[C@](CS)(C(=O)O)N,03Y
c1ccc(cc1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N,03Z
Cc1ccccc1C(=O)CC(=O)C(=O)O,040
C=Cc1cc(cc2c1oc(n2)c3ccc(c(c3)F)O)O,041
CC[C@H](C)[C@@H](C(=O)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]1[C@H](O1)C(=O)OCC,042
c1cc(cc(c1)Br)C(=O)CC(=O)C(=O)O,043
CC1=C(C(=O)N(N1C[C@@H](C)O)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4ccc(c5)OC,044
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)CO)O)O)O)O,045
CC(=O)Nc1cc(ncn1)Oc2ccc3c(c2)CCN3C(=O)Nc4ccc(c(c4)C(F)(F)F)CN5CCN(CC5)C,046
Cc1ccc(cc1)n2cc(c3c2cccc3)CNCC4CCCCC4,047
c1ccc(cc1)C(=O)Nc2cc(ccc2F)Nc3ccc4c(c3)CCCCC4=O,048
CC(=O)N[C@@H](Cc1ccccc1)[C@H]([C@]2(CO2)C)O,049
c1ccc(cc1)CC(=O)Nc2nnc(s2)CCSCCc3nnc(s3)NC(=O)Cc4ccccc4,04A
C[C@H](CO)[C@@H]([C@H](Cc1ccccc1)N)O,04B
C[C@H](CO)[C@@H]([C@H](Cc1ccccc1)NC(=O)[C@H](Cc2ccc(cc2)OC)NC(=O)[C@H](C)NC(=O)CN3CCOCC3)O,04C
C[C@H](CO)[C@H]([C@H](CC(C)C)N)O,04D
C(C(=O)O)I,04E
C1CNC(=O)[C@@H]1C[C@@H]([C@@H](O)S(=O)(=O)O)N,04F
c1cc2c(cc1O)OC3=CC(=O)C=CC3=N2,04G
[H]/N=C(\N)/N1CCC[C@H](C1)CN,04H
c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(nc(n3)N)N,04J
CCN(CC)CCOc1ccc(cc1)Nc2ncc3c(n2)N(C(=O)C(=C3)Oc4ccc(cc4)F)C,04K
Cc1ccc(cc1C(=O)Nc2cc3c([nH]c(n3)c4ccccc4)nc2)NC(=O)/C=C/c5ccccc5,04L
CCCCCCCCOc1cccc(c1)COc2ccc(cc2C(=O)O)S(=O)(=O)N3CCOCC3,04M
c1ccc(cc1)[C@@H]2OC[C@@H]3[C@@H](O2)[C@@H]([C@H]([C@H](O3)O)N)O,04N
c1ccc(cc1)CC[C@@H]2OC[C@@H]3[C@@H](O2)[C@@H]([C@H]([C@H](O3)O)N)O,04O
[H]/N=C(\N)/N1CCC[C@H](C1)CO,04P
c1ccc(cc1)CNCC(=O)O,04Q
C1CCc2c(c(nn2CC(=O)O)C(F)(F)F)C1,04R
C1CNC[C@@H]1N,04S
CC(=O)Nc1ccc(cc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)C,04T
C1[C@@H](CN[C@@H]1C(=O)O)N=[N+]=N,04U
[H]/N=C(/[C@@H]1CCCN1)\O,04V
